ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,1847,329,672,1504,2176,3403890,33562295744,3781701,37186037005,0.8488051471,0.9000949573,0.9025510231
$50M-$100M,595,39,240,394,634,3557008,43124320507,3769892,45877633052,0.9384858044,0.9435304778,0.9399857324
$100M-$200M,524,29,237,316,553,5564191,74902379860,5777728,78618889945,0.9475587703,0.9630413547,0.9527275177
$200M-$500M,516,26,246,296,542,11469389,166731371574,11894367,174565114739,0.9520295203,0.9642706501,0.9551242344
$500M-$1B,276,3,142,137,279,12621874,200060669024,12772073,202055507609,0.9892473118,0.9882400453,0.9901272744
$1B-$2B,200,2,120,82,202,16733766,277918121616,16912577,280847547042,0.9900990099,0.9894273356,0.9895693395
$2B-$5B,165,2,95,72,167,29193211,507082462234,29430959,512726609199,0.9880239521,0.9919218399,0.9889918977
$5B-$10B,59,0,37,22,59,21334200,419456648704,21334200,419456648704,1,1,1
> $10B,21,0,10,11,21,35911961,576770075194,35911961,576770075194,1,1,1
Totals,4203,430,1799,2834,4633,139789490,2299608344457,141585458,2328104062489,0.9071875675,0.9873153075,0.9877601184
