ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,1634,342,604,1372,1976,2990118,30306896115,3420831,34302521714,0.8269230769,0.87409112,0.8835180214
$50M-$100M,552,43,228,367,595,3184036,40161399242,3425197,43156855188,0.9277310924,0.9295920789,0.9305914221
$100M-$200M,502,35,218,319,537,5139168,71658807652,5420644,76489288997,0.9348230912,0.9480733286,0.9368476108
$200M-$500M,499,27,235,291,526,10629180,159978804324,11122208,168361185448,0.9486692015,0.9556717515,0.9502119143
$500M-$1B,279,5,146,138,284,12368928,199655771362,12643649,202940356193,0.9823943662,0.9782720163,0.9838150238
$1B-$2B,205,3,120,88,208,16820003,283943725380,17123804,288278280324,0.9855769231,0.9822585566,0.9849639906
$2B-$5B,159,8,94,73,167,28769827,498042566937,30262804,522448369432,0.9520958084,0.9506662701,0.9532857141
$5B-$10B,60,0,35,25,60,21885431,439908127364,21885431,439908127364,1,1,1
> $10B,20,0,9,11,20,37229404,581718195755,37229404,581718195755,1,1,1
Totals,3910,463,1689,2684,4373,139016095,2305374294131,142533972,2357603180415,0.8941230277,0.9753190278,0.977846617
