ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,1807,337,657,1487,2144,3328425,32752620919,3719935,36378911517,0.8428171642,0.8947535374,0.9003188813
$50M-$100M,587,45,245,387,632,3499078,42425427008,3744406,45595163132,0.9287974684,0.9344814638,0.9304808689
$100M-$200M,511,33,230,314,544,5442534,72672764627,5705981,77172061409,0.9393382353,0.9538296745,0.9416978541
$200M-$500M,513,25,242,296,538,11340649,164946869017,11759813,172879608578,0.9535315985,0.9643562359,0.9541140819
$500M-$1B,272,9,145,136,281,12511145,196827894464,13006803,202882470126,0.9679715302,0.9618924035,0.9701572262
$1B-$2B,200,3,115,88,203,16690724,278195502750,16994426,282682280085,0.9852216749,0.982129317,0.9841278437
$2B-$5B,160,6,97,69,166,28900332,495483419866,30180218,515106947283,0.9638554217,0.9575918902,0.9619039745
$5B-$10B,57,0,36,21,57,20686208,409421004453,20686208,409421004453,1,1,1
> $10B,21,0,10,11,21,36261959,572997385026,36261959,572997385026,1,1,1
Totals,4128,458,1777,2809,4586,138661054,2265722888130,142059749,2315115831609,0.900130833,0.9760755948,0.9786650228
