League,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alaska Credit Union League,2,7,1,8,9,776861,12096185678,977893,15381677269,0.2222222222,0.7944233163,0.7864022542
Association of Vermont Credit Unions,6,10,11,5,16,322532,5298731334,428711,6726787403,0.375,0.752329658,0.7877060797
California and Nevada Credit Union League,68,201,121,148,269,5668750,130103822146,14235550,306917157824,0.2527881041,0.3982108173,0.42390534
Carolinas Credit Union League,35,74,37,72,109,5814065,97515157958,6791967,109865680121,0.3211009174,0.8560207963,0.8875852573
Cooperative Credit Union Association,30,144,66,108,174,2564306,37266314051,4865786,79651569515,0.1724137931,0.5270075585,0.4678666632
Cornerstone League,98,570,308,360,668,8565093,131128415294,14943357,217984692218,0.1467065868,0.5731706068,0.6015487324
Credit Union Association of New Mexico,9,31,18,22,40,857649,15410794961,1097375,19215752349,0.225,0.781545962,0.8019875923
CrossState Credit Union Association,70,372,45,397,442,3967961,65773839508,5874514,91623683920,0.1583710407,0.6754534928,0.7178694055
Dakota Credit Union Association,7,54,16,45,61,72469,1146370787,539895,10970591018,0.1147540984,0.1342279517,0.1044948978
GoWest Credit Union Association,61,213,135,139,274,6268731,113997865390,13091185,228383259249,0.2226277372,0.4788513034,0.499151583
Hawaii Credit Union League,17,30,0,47,47,700898,12768778978,874682,15381030374,0.3617021277,0.8013175074,0.8301640831
Illinois Credit Union League,18,190,159,49,208,2353572,47691501037,4021992,72052830758,0.08653846154,0.585175704,0.6618962855
Indiana Credit Union League,18,111,34,95,129,1474299,25452424676,2810005,45183309276,0.1395348837,0.5246606323,0.5633147524
Iowa Credit Union League,3,65,67,1,68,71871,1072234800,1644379,32877731497,0.04411764706,0.04370707726,0.03261279751
Kentucky's Credit Union,7,49,18,38,56,563069,9265554997,981747,14561531497,0.125,0.5735377852,0.6363036058
League of Southeastern Credit Unions,66,220,156,130,286,8033726,119803024111,12414895,188455652060,0.2307692308,0.6471038217,0.6357093714
Louisiana Credit Union League,20,129,26,123,149,773586,10501916115,1345573,17158355337,0.1342281879,0.574911952,0.612058435
Maine Credit Union League,1,46,12,35,47,18092,249546237,732948,12037648648,0.02127659574,0.02468387935,0.0207304802
Maryland & DC Credit Union Association,49,60,7,102,109,1956922,41849395310,2705527,54195630443,0.4495412844,0.7233052932,0.7721913182
Michigan Credit Union League,22,165,121,66,187,2350986,47157816480,6016804,105275400897,0.1176470588,0.3907366768,0.4479471565
Minnesota Credit Union Network,15,70,60,25,85,1087303,24133914928,2157485,41958434049,0.1764705882,0.5039678144,0.5751862641
Mississippi Credit Union Association,7,54,1,60,61,476599,5809771089,737539,8131425564,0.1147540984,0.6462017602,0.7144837081
Montanas Credit Unions,3,40,9,34,43,138331,3341646414,431379,7627811058,0.06976744186,0.3206716136,0.4380872033
Mountain West Credit Union Association,0,1,0,1,1,0,0,16596,260818646,0,0,0
Nebraska Credit Union League and Affils,6,47,10,43,53,313459,3637596394,570029,6602385070,0.1132075472,0.5499000928,0.550951869
New York Credit Union Association,80,204,12,272,284,5759000,108426268544,6780046,123072037211,0.2816901408,0.8494042666,0.8809984055
Ohio Credit Union League,32,177,95,114,209,932255,13647069305,3265422,46876264745,0.1531100478,0.2854929623,0.2911296235
Tennessee Credit Union League,19,112,74,57,131,1284111,23015362354,2587557,41913434032,0.1450381679,0.4962638504,0.5491165991
The Credit Union League of Connecticut Inc,22,53,25,50,75,578086,8514130616,949512,15193853216,0.2933333333,0.6088243224,0.5603667809
Utah Credit Union Association,8,48,24,32,56,3271187,48763777591,3818197,57651579430,0.1428571429,0.8567360458,0.845835935
Virginia Credit Union League,37,52,21,68,89,18638164,246664145841,19443588,258507769187,0.4157303371,0.9585763698,0.9541846522
West Virginia Credit Union League,5,71,3,73,76,56818,698871102,377692,4980528896,0.06578947368,0.1504347458,0.14032066
Wisconsin Credit Union League,6,104,107,3,110,1456776,21918434134,3875566,69305399092,0.05454545455,0.3758872898,0.3162586814
Totals,847,3774,1799,2822,4621,87167527,1434120678160,141405393,2325981711869,0.1832936594,0.6164370761,0.6165657584
