ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,58,2118,672,1504,2176,166261,1610113306,3781701,37186037005,0.02665441176,0.04396460746,0.04329886795
$50M-$100M,78,556,240,394,634,519380,5996196487,3769892,45877633052,0.1230283912,0.137770525,0.1306997787
$100M-$200M,93,460,237,316,553,974258,13462677270,5777728,78618889945,0.1681735986,0.1686230297,0.1712397272
$200M-$500M,128,414,246,296,542,2849554,41041483527,11894367,174565114739,0.2361623616,0.2395717233,0.2351070177
$500M-$1B,101,178,142,137,279,4975589,75483579904,12772073,202055507609,0.3620071685,0.3895678485,0.373578433
$1B-$2B,73,129,120,82,202,6387083,102720938474,16912577,280847547042,0.3613861386,0.3776528556,0.365753376
$2B-$5B,70,97,95,72,167,13093222,215936437969,29430959,512726609199,0.4191616766,0.4448792172,0.4211531723
$5B-$10B,30,29,37,22,59,11321153,220823643240,21334200,419456648704,0.5084745763,0.5306574889,0.5264516462
> $10B,10,11,10,11,21,25472686,394918118770,35911961,576770075194,0.4761904762,0.7093092466,0.6847063254
Totals,641,3992,1799,2834,4633,65759186,1071993188947,141585458,2328104062489,0.1383552774,0.4644487289,0.4604575913
