ACL_13,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $200K,13,11,4,20,24,1322,1236740,2629,2621605,0.5416666667,0.5028527957,0.4717491766
$200K-$500K,39,14,18,35,53,9095,13116661,11769,17761243,0.7358490566,0.7727929306,0.7384990454
$500K-$1M,47,14,15,46,61,14306,34173112,18125,44732263,0.7704918033,0.7892965517,0.7639477573
$1M-$2M,70,38,36,72,108,23186,100060731,38116,157138710,0.6481481481,0.608300976,0.6367669112
$2M-$5M,176,64,61,179,240,110593,615377958,146775,827366386,0.7333333333,0.7534866292,0.7437792596
$5M-$10M,257,71,99,229,328,263814,1808643335,343183,2335399896,0.7835365854,0.7687268892,0.7744469536
$10M-$20M,356,68,122,302,424,584776,5145953429,699091,6110026902,0.8396226415,0.8364805154,0.8422145289
$20M-$50M,682,69,253,498,751,1997016,22690977424,2182545,24982220430,0.9081225033,0.9149941926,0.9082850537
$50M-$100M,553,44,229,368,597,3189782,40258462080,3436494,43310014970,0.9262981575,0.9282082262,0.9295416339
$100M-$200M,503,36,219,320,539,5152098,71813828078,5442844,76801107061,0.9332096475,0.9465819707,0.9350624076
$200M-$500M,497,30,236,291,527,10582341,159265387340,11146165,168716142528,0.9430740038,0.9494154267,0.943984286
$500M-$1B,279,5,146,138,284,12368928,199655771362,12643649,202940356193,0.9823943662,0.9782720163,0.9838150238
> $1B,441,15,259,197,456,101903458,1773254927954,107059614,1842352642090,0.9671052632,0.9518384589,0.9624948489
Totals,3913,479,1697,2695,4392,136200715,2274657916204,143170999,2368597530277,0.8909380692,0.9513149727,0.9603395626
