NIMBLE_CUNA_ID,Name,State,Old Manager,New Manager
10017989,Quantum CU,KS,Charles Bullock,Jacob Burrow
10013034,Finex CU,CT,Michael Palladino,Joseph Bartolotta
10022604,One Nevada CU,NV,Paul Parrish,Steve O'Donnell
10010575,OneAZ CU,AZ,Brandon Michaels,Mike Boden
10011658,Interfaith FCU,CA,Ramon Noperi,Rick Menjivar
10014814,Maui County FCU,HI,Gary Fukuroku,Michele Kawahara
10013563,Lafayette FCU,MD,B. John Farmakides,B John Farmakides
10016959,Howard Co School EFCU,IN,Kristy Parrish,Tracy Collins
10028848,Cranston Municipal ECU,RI,Brian Ducharme,Tim Dyl
10029400,Northeast Community CU,TN,Teresa Arnold,David LeVeau
10025023,Dakota West Credit Union,ND,Jeff Meyer,Jeff Reiter
10019290,Boston Firefighters CU,MA,Cristina Prentis,Danielle Milner
10019811,St Marys CU,MA,James Petkewich,Grace Lee
10010272,Chem Family CU,AL,Ashley Patrick,Carol Mcdaniel
10029984,Fannin FCU,TX,Dillon Weeks,Bekkie Cobb
10032058,Cheney FCU,WA,JoAn Sanders,Andrew Crosby
10030440,ILA 1351 FCU,TX,Ann Phelps,Annette Phelps
10019275,Beverly Municipal FCU,MA,Tom Hankard,Thomas Hankard
10033082,Iron County Community Credit Union,WI,Mark Marczak,Heather Verbos
