NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees,SURVIVOR_ID,STATUS_CHG_DATE
10023694,Criers FCU,NJ,1721442,105,0,10024580,2026-05-22
10011449,Jones Methodist Church CU,CA,256762,226,1,10011870,2026-05-01
10026315,Tappan Community CU Inc,OH,8106083,769,4,10025849,2026-06-01
10036810,West Monroe FCU,LA,3792296,403,2,10018452,2026-03-01
10018465,Graphic Arts CU,LA,965611,173,2,10018353,2026-01-01
10026990,Aliquippa Teachers FCU,PA,131327,122,0,10027554,2026-06-01
10020082,Great Lakes FCU,MI,60100201,4437,19,10015155,2026-06-01
10016834,Del Met FCU,IN,8309792,892,4,10017286,2026-05-01
10038908,A M E Church FCU,LA,67755,261,0,10018582,2025-08-31
10024143,Rochester Area State EFCU,NY,17337835,1541,4,10024316,2024-12-31
10019931,Wakefield Town EFCU,MA,4369842,533,2,10019880,2023-09-01
,Totals (11 Credit Unions):,,105158946,9462,38,,
