ACL_13,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $200K,17,14,6,25,31,2080,2450750,3649,4014879,0.5483870968,0.5700191833,0.6104169017
$200K-$500K,39,18,18,39,57,9594,13971304,12916,20136121,0.6842105263,0.7427996284,0.6938428707
$500K-$1M,49,15,19,45,64,15534,35292070,18591,46405335,0.765625,0.8355655963,0.7605175138
$1M-$2M,68,40,33,75,108,22938,95682856,38872,155199009,0.6296296296,0.5900905536,0.6165171841
$2M-$5M,183,70,71,182,253,116878,648292171,165683,876026028,0.7233201581,0.7054314565,0.7400375677
$5M-$10M,259,81,99,241,340,273005,1824072176,352454,2431451838,0.7617647059,0.7745833499,0.7501987691
$10M-$20M,366,71,127,310,437,618930,5304063406,736617,6311349349,0.8375286041,0.8402331198,0.8404008577
$20M-$50M,685,81,257,509,766,2035365,22567464180,2253945,25214764661,0.8942558747,0.9030233657,0.8950099072
$50M-$100M,558,54,236,376,612,3261952,40164345599,3565638,43967175695,0.9117647059,0.9148298285,0.9135075193
$100M-$200M,506,37,226,317,543,5329668,71911101344,5629901,76996834479,0.9318600368,0.9466717088,0.9339488023
$200M-$500M,496,32,233,295,528,10792248,158754832742,11403327,168612961397,0.9393939394,0.9464122181,0.9415339807
$500M-$1B,275,7,146,136,282,12514829,197696953299,12871192,202188026716,0.975177305,0.9723131315,0.9777876391
> $1B,437,14,258,193,451,101220025,1727587536607,106124192,1796464519567,0.9689578714,0.9537884161,0.9616597032
Totals,3938,534,1729,2743,4472,136213046,2226606058504,143176977,2323288865074,0.8805903399,0.951361377,0.95838537
