NIMBLE_CUNA_ID,Name,Old Street Address,New Street Address
10020108,Ignite CU,"15 Riverside Drive, Battle Creek, MI 49015","115 Riverside Drive, Battle Creek, MI 49015"
10023597,ONE Credit Union of NY,"130 S Elmwood Ave Ste 126, Buffalo, NY 14202-2465","3517 Union Road, Buffalo, NY 14225"
10022489,Kellogg Midwest FCU,"1724 N 120th St, Omaha, NE 68154-1379","PO Box 241497, Omaha, NE 68124-5497"
10013637,Treasury Dept FCU,"701 Madison Pl NW Rm 1000, Washington, DC 20220","1101 2nd Street Northeast, Washington, DC 20002"
10014109,Pinellas FCU,"10273 Ulmerton Rd, Largo, FL 33771-4118","350 East Bay Drive, Largo, FL 33770"
10018369,Calcasieu Teachers & ECU,"2423 6th St, Lake Charles, LA 70601-4819","1690 E McNeese St, Lake Charles, LA 70607-4822"
10031466,Firefighters CU,"124 W 1400 S, Salt Lake City, UT 84115-5227","280 E 12300 S Ste# 104, Draper, UT 84020"
10019709,Align CU,"40 Market St, Lowell, MA 01852-1806","87 Hale Street, Lowell, MA 01851"
10033293,UW Credit Union,"3500 University Ave, Madison, WI 53705-2141","8033 Excelsior Drive Ste A, Madison, WI 53717"
10001548,Jafari No-Interest CU,"2323 S Voss Rd Ste 308, Houston, TX 77057-3829","2323 S Voss Rd Ste 370, Houston, TX 77057-3829"
10024054,Focus First FCU,"1546 Lyell Ave, Rochester, NY 14606-2122","2113 Chili Avenue, Rochester, NY 14624"
