NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees
10026629,OU Federal Credit Union,OK,78710375,13001,17
10023034,Seaport FCU,NJ,93734821,5464,21
10029417,FedTrust FCU,TN,51276734,3046,12
10029052,Upstate FCU,SC,138379759,16054,58
10012043,United Catholics FCU,CA,47808785,3581,12
10026992,City Co FCU,PA,23613669,4079,4
10024218,Oneida County FCU,NY,14339203,1567,3
10011241,Fontana FCU,CA,16802814,1387,3
10012721,Metrum Community CU,CO,104461653,5550,21
10012774,One Thirteen CU,CO,8756074,1044,2
10011251,Fountain Valley CU,CA,2327254,182,1
10028174,Freedom CU,PA,1290893874,67441,89
10025602,GenFed Financial Credit Union Inc,OH,325501408,24937,89
10011193,El Monte Community CU,CA,33429562,2638,8
10010281,Mutual Savings CU,AL,231239207,19806,75
10030794,Reeves County Teachers CU,TX,10428116,1356,4
10022141,St Joseph Teachers CU,MO,8664315,1157,4
10031016,Texell CU,TX,727356290,51503,224
10027285,Century Heritage FCU,PA,272097716,18829,47
10034330,Campco FCU,WY,207819766,19532,43
10019466,GFA FCU,MA,675356720,33058,100
,Totals (21 Credit Unions):,,4362998115,295212,837
