ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,74,2094,668,1500,2168,189267,1952999910,3772072,37074451271,0.03413284133,0.05017587151,0.0526777833
$50M-$100M,90,543,240,393,633,560010,6909158620,3764922,45806678822,0.1421800948,0.1487441174,0.1508329964
$100M-$200M,108,440,235,313,548,1162987,15921996488,5711527,77875030364,0.197080292,0.2036210281,0.2044557339
$200M-$500M,140,402,246,296,542,3158464,45419556718,11894367,174565114739,0.258302583,0.2655428406,0.2601869038
$500M-$1B,85,194,142,137,279,4125128,62702905733,12772073,202055507609,0.3046594982,0.3229803024,0.3103251501
$1B-$2B,74,128,120,82,202,6576385,103925997404,16912577,280847547042,0.3663366337,0.3888458276,0.3700441699
$2B-$5B,90,77,95,72,167,16449207,274849288137,29430959,512726609199,0.5389221557,0.5589082911,0.5360542699
$5B-$10B,40,19,37,22,59,15208157,292170862146,21334200,419456648704,0.6779661017,0.7128533997,0.696546027
> $10B,15,6,10,11,21,31170100,483598378492,35911961,576770075194,0.7142857143,0.8679587283,0.8384595514
Totals,716,3903,1793,2826,4619,78599705,1287451143648,141504658,2327177662944,0.1550119073,0.5554566621,0.5532242614
