State,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alabama,10,81,51,40,91,1277982,14233563880,2729921,36371271683,0.1098901099,0.4681388216,0.3913408364
Alaska,1,8,1,8,9,756781,11899356558,977893,15381677269,0.1111111111,0.7738893724,0.7736059176
Arizona,11,24,16,19,35,823884,13039206507,1956903,31490391261,0.3142857143,0.421014225,0.4140693712
Arkansas,4,48,0,52,52,190213,3063920777,366373,4657656027,0.07692307692,0.5191785421,0.6578246138
California,49,206,113,142,255,4670737,103084310004,13829777,298933252067,0.1921568627,0.3377304638,0.3448405599
Colorado,13,54,35,32,67,1308091,25661279393,2327045,42616663470,0.1940298507,0.5621253564,0.6021419159
Connecticut,21,53,25,49,74,533885,7903893672,943825,15087185754,0.2837837838,0.5656610071,0.523881246
Delaware,4,13,0,17,17,150779,1885303673,264335,3201711772,0.2352941176,0.5704087616,0.5888424091
District Of Columbia,14,18,0,32,32,261890,10054938588,293993,10350342794,0.4375,0.8908035225,0.9714594761
Florida,37,77,65,49,114,5528425,86491119028,7415547,116304516905,0.3245614035,0.7455181661,0.7436608769
Georgia,6,73,38,41,79,439913,7491722730,2265748,35745553737,0.07594936709,0.1941579558,0.209584744
Hawaii,7,40,0,47,47,260367,4586973167,874682,15381030374,0.1489361702,0.2976704677,0.2982227494
Idaho,7,19,16,10,26,152403,2631955242,1260376,21381108021,0.2692307692,0.1209186782,0.1230972333
Illinois,16,190,158,48,206,2295462,46704117409,3979396,71410493806,0.07766990291,0.5768367863,0.6540231683
Indiana,18,111,34,95,129,1474299,25452424676,2810005,45183309276,0.1395348837,0.5246606323,0.5633147524
Iowa,4,65,67,2,69,112625,1686641352,1685133,33492138049,0.05797101449,0.06683448725,0.05035932163
Kansas,2,62,45,19,64,6382,140784847,783059,10495643586,0.03125,0.008150088308,0.01341364594
Kentucky,7,49,18,38,56,563069,9265554997,981747,14561531497,0.125,0.5735377852,0.6363036058
Louisiana,15,133,26,122,148,622512,8302240748,1343919,17136668228,0.1013513514,0.4632064879,0.4844722812
Maine,1,46,12,35,47,18092,249546237,732948,12037648648,0.02127659574,0.02468387935,0.0207304802
Maryland,21,43,7,57,64,1240674,23884339900,2096773,37749787729,0.328125,0.5917063984,0.6327013034
Massachusetts,23,108,50,81,131,2002277,27744357742,3415162,55111776120,0.1755725191,0.5862904893,0.5034197715
Michigan,18,168,120,66,186,2046754,42649603820,6002754,105118214191,0.09677419355,0.3409691618,0.4057299123
Minnesota,14,71,60,25,85,1002373,21707491242,2157485,41958434049,0.1647058824,0.4646025349,0.51735704
Mississippi,6,54,1,59,60,435714,5193652379,714569,7970358893,0.1,0.6097577701,0.651620893
Missouri,6,93,88,11,99,469560,5089475224,1818987,24201223649,0.06060606061,0.2581436811,0.21029826
Montana,3,40,9,34,43,138331,3341646414,431379,7627811058,0.06976744186,0.3206716136,0.4380872033
Nebraska,4,49,10,43,53,184812,2052845622,570029,6602385070,0.07547169811,0.3242150838,0.3109248552
Nevada,3,10,8,5,13,89490,1619801478,400803,7912951527,0.2307692308,0.2232767719,0.2047025655
New Hampshire,2,11,8,5,13,372962,5875284988,811214,12381805267,0.1538461538,0.4597578444,0.4745095615
New Jersey,22,116,6,132,138,450688,8802932399,961315,15445998881,0.1594202899,0.4688244748,0.5699166798
