NIMBLE_CUNA_ID,Name,Old Street Address,New Street Address
10016992,Indiana Members CU,"5103 Madison Ave, Indianapolis, IN 46227-4239","835 North College Avenue, Suite 1120, Indianapolis, IN 46205"
10028350,Horizon FCU,"2849 Reach Rd, Williamsport, PA 17701-4178","330 Pine Street, Suite 400, Williamsport, PA 17701"
10029415,FAA FCU,"3920 Whitebrook Dr, Memphis, TN 38118-3717","7130 Goodlett Farms Parkway; Suite 107E, Cordova, TN 38016"
10022460,Four Points FCU,"510 N 127th St, Omaha, NE 68154-4024","12240 L Street Suite 105, Omaha, NE 68137"
10018470,CUSA FCU,"100 Northpark Blvd, Covington, LA 70433-5069","50 Louis Prima Dr a, Covington, LA 70433-5069"
