ACL_13,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $200K,22,9,6,25,31,2421,2933961,3649,4014879,0.7096774194,0.6634694437,0.730771961
$200K-$500K,47,14,18,43,61,10943,16516656,13388,21453406,0.7704918033,0.8173737676,0.7698850243
$500K-$1M,50,15,19,46,65,15721,36584735,18804,47321539,0.7692307692,0.8360455222,0.773109577
$1M-$2M,76,34,33,77,110,25072,106643967,39527,158003410,0.6909090909,0.6343006046,0.6749472496
$2M-$5M,195,60,71,184,255,125857,691088911,166920,883624577,0.7647058824,0.7539959262,0.7821069366
$5M-$10M,279,66,99,246,345,291012,1965141759,357211,2456502457,0.8086956522,0.8146781594,0.7999754909
$10M-$20M,391,54,129,316,445,658988,5645781020,747255,6417942207,0.8786516854,0.8818783414,0.8796871081
$20M-$50M,721,54,260,515,775,2130982,23746611185,2273838,25523461309,0.9303225806,0.9371740643,0.9303836536
$50M-$100M,579,40,239,380,619,3392406,41646907899,3612149,44546481584,0.9353796446,0.9391655771,0.9349090303
$100M-$200M,515,29,230,314,544,5436000,73214982014,5651622,77198170119,0.9466911765,0.9618477669,0.9484030761
$200M-$500M,508,20,233,295,528,11075888,162349273195,11403327,168612961397,0.9621212121,0.9712856608,0.9628516803
$500M-$1B,280,6,147,139,286,12723809,200726292589,13016975,204732647127,0.979020979,0.9774781775,0.9804312864
> $1B,444,6,258,192,450,104919699,1776557190162,106061049,1795102752637,0.9866666667,0.9892387449,0.9896688017
Totals,4107,407,1742,2772,4514,140808798,2286705948053,143365714,2325705336648,0.9098360656,0.9821650803,0.9832311566
