State,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Guam,2,0,0,2,2,60876,751068222,60876,751068222,1,1,1
Puerto Rico,3,2,0,5,5,96598,1135272874,100991,1166278918,0.6,0.9565010744,0.973414555
Virgin Islands,1,4,0,5,5,8330,84171783,17553,156365499,0.2,0.4745627528,0.5383015022
Totals,6,6,0,12,12,165804,1970512879,179420,2073712639,0.5,0.9241110244,0.9502343005
