ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,1781,306,635,1452,2087,3260996,32211302194,3620592,35512323784,0.8533780546,0.9006803307,0.9070457453
$50M-$100M,579,40,239,380,619,3392406,41646907899,3612149,44546481584,0.9353796446,0.9391655771,0.9349090303
$100M-$200M,515,29,230,314,544,5436000,73214982014,5651622,77198170119,0.9466911765,0.9618477669,0.9484030761
$200M-$500M,508,20,233,295,528,11075888,162349273195,11403327,168612961397,0.9621212121,0.9712856608,0.9628516803
$500M-$1B,280,6,147,139,286,12723809,200726292589,13016975,204732647127,0.979020979,0.9774781775,0.9804312864
$1B-$2B,201,1,117,85,202,16662081,277403540663,16751739,279382547307,0.995049505,0.9946478392,0.9929164987
$2B-$5B,164,5,96,73,169,29691403,506798205158,30743095,523364760989,0.9704142012,0.9657909524,0.9683460617
$5B-$10B,59,0,36,23,59,21867804,429536307618,21867804,429536307618,1,1,1
> $10B,20,0,9,11,20,36698411,562819136723,36698411,562819136723,1,1,1
Totals,4107,407,1742,2772,4514,140808798,2286705948053,143365714,2325705336648,0.9098360656,0.9821650803,0.9832311566
