ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,63,1906,604,1365,1969,173379,1816044664,3418602,34323912822,0.03199593702,0.05071634545,0.05290902216
$50M-$100M,67,517,223,361,584,393534,5174967356,3328078,42478406523,0.1147260274,0.1182466276,0.1218258353
$100M-$200M,95,438,215,318,533,1010114,13956561069,5415259,75918470487,0.1782363977,0.1865310597,0.1838361729
$200M-$500M,123,407,232,298,530,2666819,39471063781,11212221,169951421513,0.2320754717,0.2378493075,0.2322490947
$500M-$1B,70,206,145,131,276,3187115,50477416731,12337109,197961060802,0.2536231884,0.2583356441,0.2549865945
$1B-$2B,75,133,118,90,208,6556153,106951679054,16929851,286116604632,0.3605769231,0.3872540284,0.3738045165
$2B-$5B,79,91,96,74,170,15087832,247171021159,30706126,530597104959,0.4647058824,0.4913622774,0.4658356008
$5B-$10B,37,26,37,26,63,14147398,277364510034,23248252,455276170181,0.5873015873,0.608535988,0.6092225515
> $10B,15,5,9,11,20,32350278,497958644605,37558698,586166225879,0.75,0.8613258639,0.8495178033
Totals,624,3729,1679,2674,4353,75572622,1240341908453,144154196,2378789377798,0.1433494142,0.5242485068,0.521417289
