NIMBLE_CUNA_ID,Name,State,Old Manager,New Manager
10013158,Seasons FCU,CT,Keith Wiemert,Keith Wiemert Keith
10011221,Farmers Insurance FCU,CA,Laura Campbell,Mirella Reznic
10018040,Autotruck Financial CU,KY,Jim Thompson,Jason Pendleton
10032215,Olympia CU,WA,Tammy Doles-Roberts,Jana Ayres
10032289,Our Community CU,WA,Ryan C Drake,Bert Fisher
10013088,Cencap FCU,CT,Jeanne Webb,Al Festini
10029229,Bluestone FCU,SD,Jeffrey Jorgensen,Alayna Johnson
10029163,Northern Hills FCU,SD,Floyd Rummel III,Misty Winter
10010022,Matanuska Valley FCU,AK,Ed Gravley,Chad Ritchie
10018970,Aberdeen Proving Ground FCU,MD,Janet Self,Rebecca Smith
10032574,Strip Steel Community FCU,WV,Ronald Komorowski,John Stoica
10017861,kstate Credit Union,KS,Larae Kraemer,LaRae Kraemer
10034607,First Choice Financial FCU,NY,Brenda Coon,Paul Naslund
10018990,Peake FCU,MD,David Hagar,Mark Caverly
10030717,Gulf Coast Educators FCU,TX,Linda Lukaszewski,Eric Stegall
10020579,Tahquamenon Area CU,MI,Chris Ison,Shannon Laidlaw
10017426,Des Moines Metro CU,IA,James Anderson,Traci Stiles
10019135,Point Breeze CU,MD,Tonia NIEDZIALKOWSKI,Tonia Niedzialkowski
10012644,Credit Union of Denver,CO,Chris Wallace,Christopher Wallace
10014612,Rome Kraft ECU,GA,Diane McCoy,Tiffany Howerton
10031018,Temple Santa Fe Community CU,TX,Mike Hamby,Lathe' Owens
10039591,Mosaic FCU,VA,Catherine Hollar,Marisela Henriquez.
10013816,Florida A and M University FCU,FL,Michelle Outlaw,Chiquita McKnight
