NIMBLE_CUNA_ID,Name,State,Old Manager,New Manager
10024517,Twin Rivers FCU,NY,Jane Tyo,Christine Grant
10018287,University of Kentucky FCU,KY,Dan Kittleson,Ryan Ross
10026678,TTCU Federal Credit Union,OK,Tim Lyons,Shelby Beil
10024806,McDowell Cornerstone CU,NC,Tim Keene,Amy Johnson
10028335,White Rose CU,PA,Debra Kauffman,Bryan Smith
10015519,Revity Credit Union,IL,Keith Burton,John Merritt
10017394,Collins Community Credit Union,IA,Sandra Vaughan,Jason Macdonald
10024395,Sunmark Credit Union,NY,Frank DeGraw,Jerilee Beaudoin
10010641,TruWest Credit Union,AZ,Alan Althouse,Chris Kearney
10014953,Abri CU,IL,Brian Cedergren,Colleen Brooks
10013795,Eglin FCU,FL,Jerry Williams,Catherine Staton
10031007,Education First FCU,TX,Kevin Conn,Urjit Patel
10030489,Soarion FCU,TX,Ryan Ross,Ricardo Ledezma
10016989,Indiana State University FCU,IN,Marie Shanks,Brian Zuber
