NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees
10018111,Fortera Credit Union,TN,897489369,78914,196
10018325,OnPath FCU,LA,632184283,54224,150
10014868,University Of Hawaii FCU,HI,912381650,33609,80
10018357,Bayou FCU,LA,82842974,7913,23
10014810,Garden Island FCU,HI,120273136,7214,19
10014815,Maui FCU,HI,133949847,7149,17
10022520,Nebraska Energy FCU,NE,309471449,12571,28
10029211,Highmark FCU,SD,254429539,13635,63
10014814,Maui County FCU,HI,443572204,20737,58
10029251,Ascend FCU,TN,4418618872,239960,634
10011001,Chevron FCU,CA,4936515380,136219,350
10014832,HawaiiUSA FCU,HI,2445763691,131656,394
10011540,SCE Federal Credit Union,CA,1111630308,68952,184
10022560,Cobalt CU,NE,1275279323,116076,255
10014263,USF FCU,FL,1139993990,73359,204
10011064,1st Northern California CU,CA,837228251,32393,91
10013092,Nutmeg State Financial CU,CT,610236944,44201,99
10010933,Compass Community CU,CA,172210051,6237,23
10010601,Vantage West CU,AZ,3020745568,186531,500
10011998,Altura CU,CA,2707381215,193201,473
10011552,Star One Credit Union,CA,9988014134,126022,258
10023683,CFCU Community Credit Union,NY,1444234656,79737,236
10014670,Kinetic CU,GA,559305464,46213,133
10024534,Cornerstone Community FCU,NY,625485553,43116,143
10013590,Spectra Credit Union,VA,553989420,27790,94
10029072,Family Trust FCU,SC,733462814,55215,130
10013520,Justice FCU,VA,999566749,63732,164
10026567,True Sky CU,OK,908835977,61073,195
10028233,Ukrainian Selfreliance FCU,PA,518118120,15990,66
10014759,Hawaiian Financial FCU,HI,944610198,55385,97
10014763,Hickam FCU,HI,676651543,47920,108
10026621,Oklahoma's CU,OK,801423410,53116,155
10024467,Syracuse Fire Dept EFCU,NY,127413843,6288,14
10029336,Chattanooga Area Schools FCU,TN,180699511,12037,14
10014842,Pearl Hawaii FCU,HI,437747437,31545,79
10026787,Old West FCU,OR,286317714,15091,88
10028004,Riverfront FCU,PA,301531927,23105,61
10027512,AmeriChoice Federal Credit Union,PA,225600926,15743,56
10028317,WEST-AIRCOMM FCU,PA,343197453,21518,42
10014049,Keys Federal Credit Union,FL,262799208,17872,57
10011572,Los Angeles Federal Credit Union,CA,1314935906,75823,175
10026669,Tinker FCU,OK,6090186438,463130,920
10027837,PA Central FCU,PA,83379045,8659,19
10029099,VITAL FCU,SC,59008914,6396,16
10024582,Qside Federal Credit Union,NY,54345382,6943,13
10023046,Fort Billings FCU,NJ,64803724,3583,20
10011751,America's Christian CU,CA,679918344,72053,107
10023313,Rio Grande Credit Union,NM,624963598,47506,140
10011596,Water and Power Community CU,CA,976453053,44982,119
10011575,First City Credit Union,CA,912222712,55796,118
10026543,Cherokee Strip CU,OK,106343096,9044,44
10015608,IAA CU,IL,372977076,17356,47
10014444,Associated CU,GA,2239058144,158820,372
10010650,Arizona Financial Credit Union,AZ,3468544885,167076,661
10010068,Guardian CU,AL,1042758956,90186,274
10010641,TruWest Credit Union,AZ,1812246372,90466,273
10026767,Advantis CU,OR,1981307101,88178,308
10028174,Freedom CU,PA,1260710726,65065,92
10023126,North Jersey FCU,NJ,237381496,23932,60
10023138,Picatinny FCU,NJ,458230896,19607,63
10027127,inspire FCU,PA,339313068,15658,36
10018582,New Orleans Firemen's FCU,LA,275381898,28945,97
10019100,Freedom FCU,MD,462419611,32875,98
10019129,Prince George's Community FCU,MD,294368606,19691,59
10012390,Tucoemas FCU,CA,329346547,24264,74
10038876,1st Community FCU,TX,390106921,22850,105
10039107,Community First Guam FCU,GU,234234751,12302,87
10012567,Yolo FCU,CA,442537386,22219,70
10037631,Riverland FCU,LA,315933819,16183,62
10000549,Platinum FCU,GA,282524641,11751,59
10032110,Americas Credit Union,WA,690328280,39362,161
10019170,Securityplus FCU,MD,564856133,36128,88
10018371,Campus FCU,LA,893332393,43809,178
10031425,Wasatch Peaks CU,UT,616320197,30976,116
10037055,Ardent CU,PA,886330176,35124,113
10035669,Fedex Emp Credit Assoc FCU,TN,645624155,100945,120
10030399,PrimeWay FCU,TX,752227770,50610,137
10014796,Gather FCU,HI,770834150,38165,88
10039781,Hope FCU,MS,616118710,40885,243
10011086,First Financial FCU,CA,754989405,34968,129
10023887,Meridia Community FCU,NY,126303087,9817,22
10010015,MAC FCU,AK,196829120,20080,85
10017802,Emporia State FCU,KS,134686719,7905,29
10022113,R-G Federal Credit Union,MO,134239419,7783,26
10013645,TruEnergy FCU,VA,128868633,8492,25
10032134,Tri-CU,WA,71526541,5750,14
10012128,Marin County FCU,CA,91274879,4222,7
10030354,Heart O' Texas FCU,TX,63270192,5766,29
10034780,Acclaim FCU,NC,59682333,5466,15
10013688,Broward HealthCare FCU,FL,95768156,8506,18
10035624,New England Teamsters FCU,MA,73699289,4687,6
10039081,New York University FCU,NY,73188892,10457,13
10010861,Bourns EFCU,CA,65060493,5156,11
10033528,Greater Metro FCU,NY,86783400,4024,11
10031347,America First FCU,UT,20286532246,1422694,3339
10027129,American Heritage FCU,PA,4863928745,311526,672
10031427,Goldenwest FCU,UT,3195693449,187678,757
10019987,Workers CU,MA,2599959465,123615,325
10024013,Island FCU,NY,1521393865,52000,158
10027392,Franklin Mint FCU,PA,1892645824,149095,329
10013622,United States Senate FCU,VA,1618357824,62441,145
10014773,Aloha Pacific FCU,HI,1296021955,67151,172
10030717,Gulf Coast Educators FCU,TX,1313345723,57879,174
10014000,McCoy FCU,FL,1000569244,79715,204
10013545,GSA Federal Credit Union,DC,41183520,5499,7
10026284,Credit Union of Ohio,OH,204127347,22801,42
10019300,Tremont Credit Union,MA,264219548,13849,40
10022090,BluCurrent CU,MO,334741252,23185,88
10021052,United Bay Community CU,MI,281193204,18181,79
10031583,One Credit Union,VT,254411466,19057,62
10030418,Energy Capital CU,TX,264863791,18590,52
10013834,Community South Credit Union,FL,243428276,14602,55
10019135,Point Breeze CU,MD,942894195,64147,129
10030042,City CU,TX,680496395,35474,113
10031016,Texell CU,TX,693884992,51579,215
10031030,FivePoint CU,TX,956204659,54527,215
10020200,Zeal Credit Union,MI,830828042,66812,135
10010248,Naheola Credit Union,AL,191628619,12040,34
10012467,Valley Oak CU,CA,79992600,6016,21
10037326,Loudoun CU,VA,56388582,5309,12
10039706,Opportunities CU,VT,65417286,5897,28
10014608,Robins Financial Credit Union,GA,4474102662,268395,542
10021355,Magnifi Financial,MN,2426423686,84930,399
10031044,TDECU,TX,4822377270,387149,878
10032739,Fox Communities CU,WI,2943394453,130576,464
10020272,Dort Financial Credit Union,MI,2312962737,113259,369
10030181,East Texas Professional CU,TX,1254357940,99132,327
10020382,4Front Credit Union,MI,1083228677,105980,282
10030732,SPCO Credit Union,TX,38111885,2853,7
10023077,New Brunswick Postal FCU,NJ,18267813,2220,7
10010547,Northwest Arkansas FCU,AR,17704445,2299,5
10033603,IBEW LU 66 FCU,TX,10283265,1349,3
10084144,People Trust Community,AR,4392007,641,2
10026649,Saint Francis EFCU,OK,45167809,6084,11
10013816,Florida A and M University FCU,FL,29214266,3951,9
10014037,Monroe County Teachers FCU,FL,25466847,1996,5
10001776,The Finest Federal Credit Union,NY,30010960,8528,11
,Totals (137 Credit Unions):,,148689108571,8734382,23226
