League,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alaska Credit Union League,2,7,1,8,9,776861,12096185678,977893,15381677269,0.2222222222,0.7944233163,0.7864022542
Association of Vermont Credit Unions,5,11,11,5,16,318392,5269302458,428711,6726787403,0.3125,0.7426728029,0.7833312014
California and Nevada Credit Union League,48,221,121,148,269,3707026,86559528788,14235550,306917157824,0.1784386617,0.2604062365,0.2820289664
Carolinas Credit Union League,31,78,37,72,109,5579531,94451685278,6791967,109865680121,0.2844036697,0.8214897098,0.859701457
Cooperative Credit Union Association,19,155,66,108,174,999048,17937360263,4865786,79651569515,0.1091954023,0.2053209903,0.2251978256
Cornerstone League,76,592,308,360,668,6457488,98075677933,14943357,217984692218,0.1137724551,0.4321310131,0.4499200239
Credit Union Association of New Mexico,8,32,18,22,40,771128,14221221805,1097375,19215752349,0.2,0.7027023579,0.7400814471
CrossState Credit Union Association,43,399,45,397,442,2258697,33852181244,5874514,91623683920,0.09728506787,0.3844908702,0.369469768
Dakota Credit Union Association,7,54,16,45,61,72469,1146370787,539895,10970591018,0.1147540984,0.1342279517,0.1044948978
GoWest Credit Union Association,41,233,135,139,274,5079469,92325786614,13091185,228383259249,0.1496350365,0.3880068153,0.4042581182
Hawaii Credit Union League,17,30,0,47,47,700898,12768778978,874682,15381030374,0.3617021277,0.8013175074,0.8301640831
Illinois Credit Union League,13,195,159,49,208,1322637,22588973187,4021992,72052830758,0.0625,0.328851226,0.3135057006
Indiana Credit Union League,15,114,34,95,129,1245117,20479495985,2810005,45183309276,0.1162790698,0.4431013468,0.4532535645
Iowa Credit Union League,3,65,67,1,68,71871,1072234800,1644379,32877731497,0.04411764706,0.04370707726,0.03261279751
Kentucky's Credit Union,7,49,18,38,56,563069,9265554997,981747,14561531497,0.125,0.5735377852,0.6363036058
League of Southeastern Credit Unions,50,236,156,130,286,5216512,73061712711,12414895,188455652060,0.1748251748,0.4201817253,0.387686503
Louisiana Credit Union League,19,130,26,123,149,767194,10429290240,1345573,17158355337,0.1275167785,0.5701615594,0.6078257522
Maine Credit Union League,1,46,12,35,47,18092,249546237,732948,12037648648,0.02127659574,0.02468387935,0.0207304802
Maryland & DC Credit Union Association,40,69,7,102,109,1605634,34016196284,2705527,54195630443,0.3669724771,0.5934644156,0.6276556985
Michigan Credit Union League,17,170,121,66,187,1087587,18719990701,6016804,105275400897,0.09090909091,0.1807582564,0.1778192298
Minnesota Credit Union Network,13,72,60,25,85,1051028,23580027305,2157485,41958434049,0.1529411765,0.487154256,0.5619853991
Mississippi Credit Union Association,7,54,1,60,61,476599,5809771089,737539,8131425564,0.1147540984,0.6462017602,0.7144837081
Montanas Credit Unions,2,41,9,34,43,122994,3132135816,431379,7627811058,0.04651162791,0.2851181907,0.4106205296
Mountain West Credit Union Association,0,1,0,1,1,0,0,16596,260818646,0,0,0
Nebraska Credit Union League and Affils,4,49,10,43,53,266562,2989130058,570029,6602385070,0.07547169811,0.4676288399,0.4527348869
New York Credit Union Association,52,232,12,272,284,3692367,76158023093,6780046,123072037211,0.1830985915,0.5445932078,0.6188085029
Ohio Credit Union League,23,186,95,114,209,504402,6573663807,3265422,46876264745,0.1100478469,0.1544676308,0.1402343775
Tennessee Credit Union League,16,115,74,57,131,1101534,20923411300,2587557,41913434032,0.1221374046,0.4257042454,0.499205369
The Credit Union League of Connecticut Inc,15,60,25,50,75,447763,6697030388,949512,15193853216,0.2,0.4715717126,0.44077235
Utah Credit Union Association,7,49,24,32,56,3032429,45718132977,3818197,57651579430,0.125,0.7942044373,0.7930074671
Virginia Credit Union League,26,63,21,68,89,15265574,202608378488,19443588,258507769187,0.2921348315,0.7851212441,0.7837612739
West Virginia Credit Union League,3,73,3,73,76,33314,455812411,377692,4980528896,0.03947368421,0.08820414518,0.09151887691
Wisconsin Credit Union League,5,105,107,3,110,979340,16741023188,3875566,69305399092,0.04545454545,0.2526959933,0.2415543869
Totals,635,3986,1799,2822,4621,65592626,1069973614888,141405393,2325981711869,0.1374161437,0.4638622658,0.4600094702
