State,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alabama,77,14,51,40,91,2558014,32937337040,2715350,35525605184,0.8461538462,0.9420568251,0.9271435875
Alaska,9,0,1,8,9,973250,15401528809,973250,15401528809,1,1,1
Arizona,30,5,16,19,35,1359358,20103022550,1946324,30492185217,0.8571428571,0.6984232841,0.6592844169
Arkansas,46,6,0,52,52,207680,2110066789,364366,4576837644,0.8846153846,0.5699763425,0.4610316015
California,201,55,113,143,256,11542133,245630938840,13694588,293780266703,0.78515625,0.8428244063,0.8361042816
Colorado,55,12,35,32,67,2088936,38283608045,2315202,42201854771,0.8208955224,0.9022694348,0.9071546322
Connecticut,57,18,25,50,75,789761,12815686957,955493,14935878709,0.76,0.8265481798,0.8580470695
Delaware,16,1,0,17,17,243523,2650584292,264587,3119388668,0.9411764706,0.9203891348,0.8497127399
District Of Columbia,28,5,0,33,33,274972,10206362394,303587,10600438709,0.8484848485,0.9057436583,0.9628245278
Florida,102,14,67,49,116,5098578,76867626264,7311406,112005937033,0.8793103448,0.6973457636,0.6862817124
Georgia,67,12,38,41,79,1857408,28101467536,2257163,35214395261,0.8481012658,0.8228949349,0.7980107944
Hawaii,47,0,0,47,47,869628,15239670466,869628,15239670466,1,1,1
Idaho,21,5,16,10,26,1221397,20438949992,1246805,21167638661,0.8076923077,0.9796215126,0.9655753445
Illinois,190,16,159,47,206,2926498,44691356640,3950837,68285532670,0.9223300971,0.7407286102,0.6544776747
Indiana,113,16,34,95,129,2542663,38510356366,2804410,43690956050,0.8759689922,0.9066659297,0.8814262687
Iowa,66,3,67,2,69,1657116,33126102941,1673032,33386024019,0.9565217391,0.9904867331,0.9922146741
Kansas,57,7,45,19,64,770177,9979606940,785223,10207582846,0.890625,0.9808385643,0.9776660244
Kentucky,54,1,18,37,55,974140,14210891375,974886,14216298741,0.9818181818,0.9992347823,0.9996196362
Louisiana,130,20,26,124,150,1320935,16308987087,1344672,16503084550,0.8666666667,0.982347368,0.9882387161
Maine,47,0,12,35,47,731678,11687844792,731678,11687844792,1,1,1
Maryland,51,14,7,58,65,1670096,27954839067,2091664,36386745836,0.7846153846,0.7984532889,0.7682698308
Massachusetts,110,22,50,82,132,1818096,34986571402,3396587,54422848341,0.8333333333,0.5352714357,0.6428654962
Michigan,177,10,121,66,187,4687933,74657238831,5975525,102695781089,0.9465240642,0.7845223641,0.7269747407
Minnesota,78,6,59,25,84,2007689,38015404329,2062590,38902755984,0.9285714286,0.9733824948,0.9771905195
Mississippi,61,0,1,60,61,732643,7977729308,732643,7977729308,1,1,1
Missouri,90,9,88,11,99,1797774,22897259697,1810187,23041624298,0.9090909091,0.9931426974,0.993734617
Montana,42,1,9,34,43,413900,7336521035,429377,7548242286,0.976744186,0.963954753,0.9719509201
Nebraska,50,3,10,43,53,517863,5855020123,567269,6514805705,0.9433962264,0.9129055175,0.8987252096
Nevada,13,1,8,6,14,323973,6398015975,399461,7740936621,0.9285714286,0.8110253567,0.8265170338
New Hampshire,11,2,8,5,13,778783,11845377778,794580,12203474504,0.8461538462,0.9801190566,0.9706561663
New Jersey,78,60,7,131,138,742006,10797872709,959728,15402679994,0.5652173913,0.7731419736,0.7010385669
New Mexico,37,3,18,22,40,987393,16651864337,1081684,17930284441,0.925,0.91282944,0.9287005118
New York,216,68,12,272,284,4427603,85734076188,6723070,121565818179,0.7605633803,0.6585686301,0.7052482143
North Carolina,53,9,29,33,62,4814712,80014115508,5043584,84347227902,0.8548387097,0.9546211583,0.9486276846
North Dakota,27,2,16,13,29,213933,5353148075,214767,5362508510,0.9310344828,0.9961167218,0.9982544671
Ohio,172,37,95,114,209,2770609,38284992877,3250202,46137764309,0.8229665072,0.8524420944,0.8297973136
Oklahoma,47,7,10,44,54,1338968,19417673040,1439486,20809245193,0.8703703704,0.9301709082,0.9331272163
Oregon,43,9,19,33,52,1854419,29140772969,2221933,35836970857,0.8269230769,0.8345971728,0.813148329
Pennsylvania,230,74,38,266,304,3227010,45351003193,4904260,73910853113,0.7565789474,0.658001411,0.6135905795
Rhode Island,13,2,8,7,15,481798,10179705316,484581,10219503610,0.8666666667,0.9942568941,0.9961056529
South Carolina,45,2,8,39,47,1493514,19947159148,1702182,22590288418,0.9574468085,0.8774114636,0.8829970994
South Dakota,30,2,0,32,32,318243,5406364130,322258,5469167091,0.9375,0.9875410385,0.9885169058
Tennessee,122,9,74,57,131,2289970,37421538628,2566380,40624320111,0.9312977099,0.8922957629,0.9211609825
Texas,362,37,165,234,399,9000669,132073555752,10472997,156131143529,0.9072681704,0.8594167458,0.845914228
Utah,54,2,24,32,56,3504931,52432244608,3743437,55394339416,0.9642857143,0.9362868936,0.946527121
Vermont,14,2,11,5,16,418732,6519250184,426314,6623471042,0.875,0.9822149871,0.9842649183
Virginia,79,18,21,76,97,15999239,210951837993,19354197,255320610113,0.8144329897,0.8266547561,0.8262233037
Washington,74,2,48,28,76,4780651,88980042969,4803097,89300724602,0.9736842105,0.9953267652,0.9964089694
West Virginia,71,6,3,74,77,351969,4590720945,378924,4895061983,0.9220779221,0.9288643633,0.9378269286
Wisconsin,107,3,107,3,110,3382126,62388136087,3852002,67720365682,0.9727272727,0.8780177165,0.9212610632
Wyoming,16,3,0,19,19,337248,5029688920,358700,5359970691,0.8421052632,0.9401951491,0.9383799297
Totals,3986,635,1797,2824,4621,117492338,1893891737236,140046153,2270626212261,0.8625838563,0.8389544124,0.8340834467
