ACL_13,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $200K,0,26,4,22,26,0,0,3807,3339224,0,0,0
$200K-$500K,0,64,19,45,64,0,0,15117,22741746,0,0,0
$500K-$1M,0,74,23,51,74,0,0,20154,54902874,0,0,0
$1M-$2M,0,113,32,81,113,0,0,40427,164031304,0,0,0
$2M-$5M,3,263,75,191,266,3083,11312210,173992,909994328,0.01127819549,0.01771920548,0.01243107748
$5M-$10M,3,371,112,262,374,1903,21371207,378728,2703466108,0.008021390374,0.005024714307,0.007905113712
$10M-$20M,9,447,130,326,456,19796,129123037,776898,6619353189,0.01973684211,0.02548082245,0.01950689642
$20M-$50M,43,769,281,531,812,140203,1435432765,2439127,26832633894,0.05295566502,0.05748081178,0.05349578318
$50M-$100M,82,561,247,396,643,550878,6266282425,3867408,46425823783,0.1275272162,0.1424411389,0.1349740708
$100M-$200M,90,460,232,318,550,926292,12942486912,5878514,78241806521,0.1636363636,0.1575724749,0.1654165144
$200M-$500M,129,403,239,293,532,2868954,40559109981,11809247,170304373817,0.242481203,0.2429413154,0.2381565962
$500M-$1B,105,181,148,138,286,5263670,77900258195,13425228,207576520182,0.3671328671,0.3920730434,0.3752845366
> $1B,182,255,255,182,437,55872909,911504959700,101396926,1732840937930,0.4164759725,0.5510315865,0.5260176741
Totals,646,3987,1797,2836,4633,65647688,1050770336432,140225573,2272699924900,0.1394344917,0.4681577447,0.4623445114
