NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees
10028317,WEST-AIRCOMM FCU,PA,343197453,21518,42
10035669,Fedex Emp Credit Assoc FCU,TN,645624155,100945,120
,Totals (2 Credit Unions):,,988821608,122463,162
