NIMBLE_CUNA_ID,Name,State,Old Manager,New Manager
10010275,Montgomery VA FCU,AL,Wendy Bolton,Shannon Watkins
10033154,Public Service Credit Union,WI,Kyle Turner,Alexander Vedvik
10016755,First County FCU,IN,Julie Eskew,Mark Brooks
10017204,Community Spirit CU,IN,Tammy Brett,Tiffany Hutcherson
10027560,GNC Community FCU,PA,Julia Gee,David Ross
10023385,Four Corners FCU,NM,Barrett Lynch,Tanya Beleen
10023422,State Employees Credit Union,NM,Andy Ramos,Andres Ramos
10029557,Appalachian Community FCU,TN,Andrew Mullins III,Paul Penland
10032082,Strait View CU,WA,Lisa Roening,Corina Ruiz
10026879,Forrit Credit Union,OR,Wendy Russell,Aaron Goff
10012095,San Francisco Fire CU,CA,Kathy Duvall,Robert Kassab
10028920,Rhode Island CU,RI,David Suvall,Nancy Zeppa
10027134,Moonlight FCU,PA,Karen Janoski,John Roofner
10029615,Employee Resources Credit Union,TN,Konda Bowling,Brittany Mitchell
10028339,Choice One Community FCU,PA,John Rose,Thomas Smith
10027016,Lebanon Federal Credit Union,PA,Christopher Pastal,Matthew Gehman
10026998,Allentown FCU,PA,Barry Weiner,Al Farnschlader
10024634,Mountain CU,NC,Amy Woody,Suzie Shook
10017107,Natco CU,IN,Cindy Duke,Tim Frame
10022460,Four Points FCU,NE,Bart Protzman,Chris Dawe
10031427,Goldenwest FCU,UT,Kerry Wahlen,David Butterfield
10037132,Great Horizons FCU,IN,Laura Franckevicius,Sarah Humenik
10023935,USAlliance FCU,NY,Harry Zhu,Brett Wheeler
10032605,WV Central FCU,WV,Michael Tucker,Cindy Turner
10021697,Eagle Express FCU,MS,Katie Nelson,Joey Minton
10030845,Faith Cooperative FCU,TX,Stephanie Johnson,Vickie Wilson
10019914,UMassFive College FCU,MA,Rich Kump,Lauren Duffy
10031595,EastRise CU,VT,John Dwyer,Robert Miller
10011077,SLO Credit Union,CA,Donna Severs,Dane Smith
10014444,Associated CU,GA,C Lin Hodges,Timothy Bridges
10036905,MTC FCU,SC,William Love,Kimberly Witt
10021098,Michigan Educational CU,MI,Robert Sandercock,Jeff Cusmano
10013409,Del-One FCU,DE,Dan Mccarthy,Dan McCarthy
10016993,Firefighters CU,IN,Mel Self,Dee Dee Gerron
10018798,Cumberland County FCU,ME,Scott Harriman,Ryan Grund
10013637,Treasury Dept FCU,DC,Lee Woolley,Nick Moreland
10017474,Peoples CU,IA,Jordan Hensley,Jordon Hensley
10031688,Connects FCU,VA,James McBride,Karen Griscom
10018621,Post Office EFCU,LA,Fred Mccoy,Mistie Simons
10018841,KSW FCU,ME,Deseree Gilman,Jason Hilt
10027837,PA Central FCU,PA,Gregory Wagner,Matt White
10039516,Mt Airy Baptist Church FCU,DC,Gregory Miller,Theodore Hale
10032647,CoVantage CU,WI,Charlie Zanayed,Matt Kaudy
10032636,UnitedOne Credit Union,WI,Kim Rooney,Amy Sonnemann
10001742,ELCA FCU,IL,Luis Reyes,Robin Jurkowski
