ACL_13,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $200K,19,10,5,24,29,2039,2405272,3269,3500532,0.6551724138,0.6237381462,0.6871161298
$200K-$500K,51,12,20,43,63,11783,17730920,13971,21961104,0.8095238095,0.843389879,0.807378354
$500K-$1M,50,18,20,48,68,15557,36567747,19454,49652000,0.7352941176,0.7996812995,0.7364808467
$1M-$2M,79,34,32,81,113,26166,113645696,40347,166370127,0.6991150442,0.6485240538,0.6830895549
$2M-$5M,187,56,66,177,243,117141,654795728,156552,837305514,0.7695473251,0.7482561705,0.7820272494
$5M-$10M,290,65,103,252,355,298351,2032439550,359964,2516165550,0.8169014085,0.8288356613,0.8077527133
$10M-$20M,397,53,128,322,450,674907,5705006188,762361,6470389133,0.8822222222,0.8852853176,0.881709905
$20M-$50M,725,57,268,514,782,2171293,23882193825,2323675,25741499533,0.9271099744,0.9344219824,0.9277701089
$50M-$100M,586,40,238,388,626,3466674,42276787379,3686656,45181193596,0.9361022364,0.9403302071,0.9357164788
$100M-$200M,506,33,233,306,539,5447070,72159766903,5709746,76665696286,0.9387755102,0.9539951514,0.9412262641
$200M-$500M,510,22,236,296,532,11245380,164436123136,11626779,171536766139,0.9586466165,0.9671965039,0.9586057079
$500M-$1B,271,8,144,135,279,12464628,196375376855,12893780,201550526822,0.9713261649,0.9667163547,0.9743233121
> $1B,442,6,256,192,448,104167568,1777667727268,105305789,1796147704031,0.9866071429,0.989191278,0.9897113268
Totals,4113,414,1749,2778,4527,140108557,2285360566467,142902343,2326888730367,0.9085487078,0.9804496837,0.9821529223
