State,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alabama,73,16,49,40,89,2536553,37869765405,2586902,38572671478,0.8202247191,0.9805369511,0.9817770964
Alaska,9,0,1,8,9,1019962,16572184490,1019962,16572184490,1,1,1
Arizona,29,4,15,18,33,1932672,32162409632,1981429,32702328227,0.8787878788,0.9753930118,0.9834899035
Arkansas,47,2,0,49,49,373163,5007873277,376466,5038493231,0.9591836735,0.9912262993,0.9939227954
California,201,42,105,138,243,13762097,289749151434,14178573,297109419966,0.8271604938,0.9706263811,0.9752270778
Colorado,60,6,35,31,66,2356988,42818850010,2373499,43058917798,0.9090909091,0.9930436036,0.9944246674
Connecticut,59,8,26,41,67,887423,14793216744,907372,14982263332,0.8805970149,0.9780145299,0.987381974
Delaware,16,0,0,16,16,270586,3117006224,270586,3117006224,1,1,1
District Of Columbia,23,7,0,30,30,273218,10441290335,294625,10643706180,0.7666666667,0.9273415359,0.9809825787
Florida,104,7,62,49,111,7346599,113824905983,7660131,117946962827,0.9369369369,0.9590696295,0.9650516067
Georgia,65,9,34,40,74,2220260,35709282965,2269369,36574150244,0.8783783784,0.978360064,0.9763530452
Hawaii,45,0,0,45,45,877572,16573239584,877572,16573239584,1,1,1
Idaho,24,2,16,10,26,1367901,23626410620,1369237,23635844454,0.9230769231,0.9990242741,0.9996008675
Illinois,187,9,152,44,196,4081773,73188271608,4098015,73246230768,0.9540816327,0.9960366177,0.999208708
Indiana,112,12,31,93,124,2772995,46973919756,2805412,47400096230,0.9032258065,0.9884448345,0.9910089534
Iowa,63,4,65,2,67,1637764,34321791044,1653517,34562385774,0.9402985075,0.9904730341,0.9930388275
Kansas,57,3,44,16,60,668963,8824745789,670370,8837796160,0.95,0.9979011591,0.9985233456
Kentucky,53,1,17,37,54,979566,15624747550,980250,15630028956,0.9814814815,0.9993022188,0.9996620988
Louisiana,123,16,24,115,139,1273927,16597523967,1285691,16678589768,0.8848920863,0.9908500565,0.9951395291
Maine,48,0,12,36,48,762239,12860212336,762239,12860212336,1,1,1
Maryland,49,12,7,54,61,1931731,34964567261,2137938,38251202170,0.8032786885,0.903548653,0.9140776048
Massachusetts,112,15,48,79,127,3352711,53688969641,3471022,55668663396,0.8818897638,0.9659146499,0.9644379147
Michigan,159,13,111,61,172,5953570,109748820557,6021893,110755625222,0.9244186047,0.9886542321,0.9909096747
Minnesota,79,3,59,23,82,2163963,42025612549,2179330,42322714089,0.9634146341,0.9929487503,0.9929800925
Mississippi,54,1,0,55,55,754124,8612235159,758441,8624622920,0.9818181818,0.9943080609,0.9985636751
Missouri,85,6,77,14,91,1860505,25027332262,1868758,25139984091,0.9340659341,0.9955836978,0.9955190175
Montana,41,0,9,32,41,441755,7755120556,441755,7755120556,1,1,1
Nebraska,49,1,10,40,50,567146,6754231923,569565,6787870147,0.98,0.9957528991,0.9950443625
Nevada,13,0,8,5,13,410382,8578057720,410382,8578057720,1,1,1
New Hampshire,12,0,7,5,12,831991,13204596381,831991,13204596381,1,1,1
New Jersey,74,55,5,124,129,792211,13225876610,939902,15071311811,0.5736434109,0.8428655328,0.8775531139
New Mexico,35,2,18,19,37,1132478,19743263584,1147415,19857101860,0.9459459459,0.9869820422,0.9942671253
New York,230,43,11,262,273,6844325,124931686318,7023381,128609404207,0.8424908425,0.9745057259,0.9714039738
North Carolina,47,10,28,29,57,4827456,81658737090,5215789,87312753641,0.8245614035,0.9255466431,0.935244093
North Dakota,27,2,16,13,29,213828,5743100094,214636,5752202959,0.9310344828,0.9962354871,0.9984174993
Ohio,167,30,89,108,197,2786833,41543122486,3266043,48440137546,0.847715736,0.8532750487,0.8576177647
Oklahoma,48,5,9,44,53,1414850,20690764102,1458131,21206503785,0.9056603774,0.9703174818,0.9756801174
Oregon,45,3,20,28,48,2139473,34918527991,2320303,38249043207,0.9375,0.9220662129,0.9129255287
Pennsylvania,226,57,34,249,283,4852475,78783883415,4936664,79971220238,0.7985865724,0.9829461758,0.9851529485
Rhode Island,12,2,8,6,14,496912,10649385561,499438,10689407376,0.8571428571,0.9949423152,0.996255937
South Carolina,43,3,8,38,46,1672801,23301965224,1694798,23476934772,0.9347826087,0.9870208721,0.9925471724
South Dakota,31,2,0,33,33,343892,5774660767,348334,5840653823,0.9393939394,0.9872478713,0.9887010842
Tennessee,117,11,70,58,128,2554619,43726336978,2672164,45270035417,0.9140625,0.9560113077,0.9659002158
Texas,356,32,160,228,388,9838704,151124630570,10588684,161303450916,0.9175257732,0.9291715571,0.9368964502
Utah,52,2,22,32,54,4077827,64091162856,4078574,64094040910,0.962962963,0.9998168478,0.9999550964
Vermont,14,0,9,5,14,433831,6895274063,433831,6895274063,1,1,1
Virginia,83,13,19,77,96,17891171,240313236810,20812662,273674476668,0.8645833333,0.8596291527,0.8780988265
Washington,71,4,47,28,75,4749173,87829904042,4954818,90738266823,0.9466666667,0.9584959528,0.9679477812
West Virginia,69,5,3,71,74,366159,4959735440,377594,5090091520,0.9324324324,0.9697161502,0.9743902286
Wisconsin,100,0,98,2,100,3891711,71172461489,3891711,71172461489,1,1,1
Wyoming,15,3,0,18,18,386199,5837590608,388799,5873024873,0.8333333333,0.99331274,0.9939666074
Totals,3913,483,1698,2698,4396,137377027,2297931648860,144375963,2391418782623,0.8901273885,0.9515228446,0.9609072512
