NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees,SURVIVOR_ID,STATUS_CHG_DATE
10022877,United Investors FCU,NJ,2694185,350,3,10023271,2025-01-01
10023429,Telco Roswell New Mexico FCU,NM,4904364,887,1,10023363,2025-01-01
10012666,Eaton EFCU,CO,249231,65,1,10012668,2025-01-31
10023031,M & C Menlo Park FCU,NJ,1213172,162,1,10024588,2025-03-01
10018118,Gibbs Aluminum FCU,KY,5238480,947,1,10017289,2025-03-19
10027684,Luzerne County FCU,PA,20138381,1943,5,10028340,2025-03-07
10024945,Winston-Salem FCU,NC,60500141,8481,21,10039245,2025-01-01
10011078,LA Financial Credit Union,CA,559080383,22978,79,10012548,2025-03-01
10029831,ACU CU,TX,6204071,869,2,10012433,2025-02-01
10010095,Alabama Law Enforcement CU,AL,10422550,1752,5,10010225,2025-04-01
10026559,El Reno RIL CU,OK,36836241,3194,8,10026691,2025-04-01
10011754,North County CU,CA,71407607,2663,8,10010859,2025-02-01
10021018,T & I CU,MI,90500744,3878,16,10020585,2025-04-01
10031209,Texas Telcom CU,TX,53703066,3526,8,10030485,2024-12-13
10030215,RelyOn Credit Union,TX,72270886,7950,28,,1952-07-07
10038257,Vocality Community CU,CA,138427745,8402,31,10011645,2025-04-01
10020661,Bloom CU,MI,193974507,16346,44,10021105,2025-04-01
10021887,Electro Savings CU,MO,192913914,20500,56,,1941-04-26
10022035,Missouri CU,MO,565746703,36848,82,10022028,2025-04-01
10022572,Heartland Area FCU,NE,27320282,2129,7,10022537,2025-01-01
10010463,Fort Smith Dixie Cup FCU,AR,10964200,1004,3,10010429,2025-04-01
10023212,Pinnacle Federal Credit Union,NJ,94551272,11416,21,10022793,2025-01-01
10018998,Atlantic Financial FCU,MD,99219212,8703,26,10019100,2025-02-01
10016105,Synergy Partners Credit Union,IL,11032191,1344,3,10015155,2025-04-01
10020602,Mason County School ECU,MI,6612557,562,4,10020274,2024-10-01
10022083,Proctor and Gamble St Louis ECU,MO,783565,183,1,10021889,2024-10-01
10030772,Family 1st of Texas FCU,TX,19157543,1342,5,10030532,2025-03-01
10035783,Team & Wheel FCU,NC,11225581,1686,1,10036312,2025-01-01
10013553,Howard University EFCU,DC,10110483,1164,1,10019131,2024-12-01
10027456,Tri Valley Service FCU,PA,18987404,3721,5,10026993,2024-12-01
10010622,Arizona Copper FCU,AZ,14402667,2202,9,10010617,2024-04-19
10012727,Harmony FCU,CO,19018658,1333,3,10012701,2024-04-02
10026992,City Co FCU,PA,21720613,4038,6,10027941,2025-01-01
10033432,Wyo Central FCU,WY,28285654,3253,11,10033407,2024-10-01
10024524,Umico FCU,NY,7531073,833,4,10024435,2024-10-02
10021652,JPFCE FCU,MS,440454,153,1,10021705,2025-04-01
10039782,Big Bethel AME Church FCU,GA,313471,184,0,10014418,2025-02-01
10032485,Joy EFCU,WV,449564,134,1,10032534,2024-10-01
10028269,Valley Wide of PA FCU,PA,916204,213,2,10027075,2025-04-01
10020324,LOC Credit Union,MI,445936870,27782,95,10020227,2022-08-03
,Totals (40 Credit Unions):,,2935405889,215120,609,,
