League,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alaska Credit Union League,9,0,1,8,9,993985,14958326534,993985,14958326534,1,1,1
Association of Vermont Credit Unions,15,1,11,5,16,432372,6773970059,435787,6853238232,0.9375,0.9921636029,0.9884334718
California and Nevada Credit Union League,229,32,117,144,261,14067553,293057676377,14439851,300219421655,0.877394636,0.974217324,0.9761449634
Carolinas Credit Union League,99,7,37,69,106,6626307,102612059564,6851431,106884442170,0.9339622642,0.9671420467,0.9600280217
Cooperative Credit Union Association,152,17,63,106,169,4748150,77939141248,4840091,79561107059,0.899408284,0.9810042828,0.9796135842
Cornerstone League,611,44,299,356,655,14259977,207096092995,14983554,217026568171,0.9328244275,0.9517085866,0.9542430438
Credit Union Association of New Mexico,36,4,18,22,40,1052226,18346365212,1116790,19141227888,0.9,0.9421878778,0.9584737886
CrossState Credit Union Association,326,100,41,385,426,5717787,90552896310,5901730,92822508200,0.765258216,0.9688323593,0.9755489058
Dakota Credit Union Association,58,4,16,46,62,552409,11291453942,557759,11365002259,0.935483871,0.9904080436,0.993528526
GoWest Credit Union Association,253,15,133,135,268,13078207,226676621472,13128070,227732068130,0.9440298507,0.9962018027,0.9953654017
Hawaii Credit Union League,45,0,0,45,45,869664,15995105593,869664,15995105593,1,1,1
Illinois Credit Union League,193,8,154,47,201,4096413,71719909468,4111751,71786562802,0.960199005,0.9962697157,0.9990715068
Indiana Credit Union League,115,13,33,95,128,2773609,44958441648,2806460,45368206296,0.8984375,0.9882945062,0.9909680218
Iowa Credit Union League,63,4,66,1,67,1645176,32862193943,1661188,33111602632,0.9402985075,0.9903611151,0.9924676346
Kentucky's Credit Unions,55,1,18,38,56,967548,15006125081,968247,15011385517,0.9821428571,0.9992780768,0.9996495703
Luminate Louisiana Credit Unions,128,16,26,118,144,1323672,16868538928,1335721,16948550386,0.8888888889,0.9909794036,0.9952791563
Maine Credit Union League,47,0,12,35,47,747934,12267436219,747934,12267436219,1,1,1
Maryland & DC Credit Union Association,97,11,7,101,108,2688502,53027013980,2766717,54259704218,0.8981481481,0.9717300324,0.9772816631
Michigan Credit Union League,175,3,114,64,178,5995122,106937388549,6005518,107180845266,0.9831460674,0.9982689253,0.9977285427
Minnesota Credit Union Network,80,3,58,25,83,2160540,41340758408,2175391,41634105470,0.9638554217,0.9931731813,0.9929541644
Mississippi Credit Union Association,58,0,1,57,58,742812,8333164825,742812,8333164825,1,1,1
Montanas Credit Unions,42,0,9,33,42,436550,7639740842,436550,7639740842,1,1,1
Nebraska Credit Union League and Affils,51,1,10,42,52,562489,6618077692,564953,6651793411,0.9807692308,0.9956385752,0.994931334
New York Credit Union Association,241,36,12,265,277,6798963,122811255164,6909175,124830781648,0.8700361011,0.9840484573,0.9838218871
Ohio Credit Union League,177,28,94,111,205,3239710,47187318921,3296473,47902200582,0.8634146341,0.9827806871,0.9850762251
Tennessee Credit Union League,120,8,70,58,128,2510949,42076449045,2623984,43544854287,0.9375,0.9569223745,0.9662783292
The Credit Union League of Connecticut Inc,60,10,25,45,70,935175,14816614252,949960,14991451745,0.8571428571,0.9844361868,0.9883375209
The League of Credit Unions & Affiliates,336,33,170,199,369,29425590,405975709127,32688840,444470246955,0.9105691057,0.9001723524,0.913392318
Utah Credit Union Association,52,2,22,32,54,3731288,57319592211,3975786,60494944814,0.962962963,0.9385032293,0.9475104471
West Virginia Credit Union League,69,5,3,71,74,365693,4767761618,377372,4895732305,0.9324324324,0.9690517579,0.9738607671
Wisconsin Credit Union League,104,1,102,3,105,3915328,69653190404,3915489,69654064075,0.9904761905,0.9999588813,0.999987457
Totals,4096,407,1742,2761,4503,137461700,2247486389631,143179033,2323536390186,0.9096158117,0.9600686436,0.9672697183
