ACL_13,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $200K,13,11,4,20,24,1322,1236740,2629,2621605,0.5416666667,0.5028527957,0.4717491766
$200K-$500K,39,14,18,35,53,9095,13116661,11769,17761243,0.7358490566,0.7727929306,0.7384990454
$500K-$1M,47,14,15,46,61,14306,34173112,18125,44732263,0.7704918033,0.7892965517,0.7639477573
$1M-$2M,70,38,36,72,108,23186,100060731,38116,157138710,0.6481481481,0.608300976,0.6367669112
$2M-$5M,176,64,61,179,240,110593,615377958,146775,827366386,0.7333333333,0.7534866292,0.7437792596
$5M-$10M,258,70,99,229,328,264511,1816015267,343183,2335399896,0.7865853659,0.7707578755,0.7776035574
$10M-$20M,357,67,122,302,424,586381,5158387744,699091,6110026902,0.8419811321,0.8387763539,0.8442495961
$20M-$50M,683,68,253,498,751,2001125,22740587913,2182545,24982220430,0.9094540613,0.9168768571,0.9102708855
$50M-$100M,553,44,229,368,597,3189782,40258462080,3436494,43310014970,0.9262981575,0.9282082262,0.9295416339
$100M-$200M,504,35,219,320,539,5161368,71970625716,5442844,76801107061,0.9350649351,0.9482851245,0.9371040141
$200M-$500M,499,28,236,291,527,10639348,160061833352,11146165,168716142528,0.9468690702,0.9545299213,0.9487049132
$500M-$1B,279,5,146,138,284,12368928,199655771362,12643649,202940356193,0.9823943662,0.9782720163,0.9838150238
> $1B,445,11,259,197,456,105262836,1813612284651,107059614,1842352642090,0.975877193,0.9832170327,0.9844001866
Totals,3923,469,1697,2695,4392,139632781,2316037933287,143170999,2368597530277,0.8932149362,0.9752867688,0.9778098236
