State,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alabama,77,14,51,40,91,2700350,36612529342,2733559,37106730411,0.8461538462,0.9878513689,0.9866816326
Alaska,9,0,1,8,9,993985,14958326534,993985,14958326534,1,1,1
Arizona,32,1,15,18,33,1929854,30958766984,1936021,31006768082,0.9696969697,0.9968146007,0.9984519155
Arkansas,48,2,0,50,50,368088,4864273001,371617,4897434505,0.96,0.9905036637,0.9932288009
California,216,32,109,139,248,13663227,284799911743,14035525,291961657021,0.8709677419,0.9734745939,0.975470254
Colorado,59,8,35,32,67,2345091,41897569272,2364555,42169985716,0.8805970149,0.99176843,0.9935400395
Connecticut,60,10,25,45,70,935175,14816614252,949960,14991451745,0.8571428571,0.9844361868,0.9883375209
Delaware,17,0,0,17,17,267526,3060215720,267526,3060215720,1,1,1
District Of Columbia,28,3,0,31,31,283879,10317063899,295539,10453681103,0.9032258065,0.9605466622,0.986931187
Florida,111,2,64,49,113,7314253,111017125794,7596396,114749246349,0.982300885,0.9628583081,0.96747586
Georgia,71,6,35,42,77,2243271,35372920726,2257861,35640911328,0.9220779221,0.9935381319,0.9924808151
Hawaii,45,0,0,45,45,869664,15995105593,869664,15995105593,1,1,1
Idaho,23,3,16,10,26,1293012,21667780968,1307291,22265913691,0.8846153846,0.9890774128,0.9731368435
Illinois,192,8,154,46,200,4056162,71101577206,4071500,71168230540,0.96,0.996232838,0.9990634398
Indiana,115,13,33,95,128,2773609,44958441648,2806460,45368206296,0.8984375,0.9882945062,0.9909680218
Iowa,64,4,66,2,68,1685427,33480526205,1701439,33729934894,0.9411764706,0.9905891425,0.9926057169
Kansas,59,3,44,18,62,784343,10675558078,786746,10694036484,0.9516129032,0.996945647,0.9982720831
Kentucky,55,1,18,38,56,967548,15006125081,968247,15011385517,0.9821428571,0.9992780768,0.9996495703
Louisiana,128,16,26,118,144,1323672,16868538928,1335721,16948550386,0.8888888889,0.9909794036,0.9952791563
Maine,47,0,12,35,47,747934,12267436219,747934,12267436219,1,1,1
Maryland,56,8,7,57,64,2049619,36244233605,2116174,37340306639,0.875,0.9685493726,0.9706463837
Massachusetts,114,14,48,80,128,3326455,53514520351,3414380,55085062508,0.890625,0.9742486191,0.9714887832
Michigan,175,3,114,64,178,5995122,106937388549,6005518,107180845266,0.9831460674,0.9982689253,0.9977285427
Minnesota,80,3,58,25,83,2160540,41340758408,2175391,41634105470,0.9638554217,0.9931731813,0.9929541644
Mississippi,58,0,1,57,58,742812,8333164825,742812,8333164825,1,1,1
Missouri,89,5,83,11,94,1836130,23825241312,1843669,23930971244,0.9468085106,0.9959108712,0.9955818788
Montana,42,0,9,33,42,436550,7639740842,436550,7639740842,1,1,1
Nebraska,51,1,10,42,52,562489,6618077692,564953,6651793411,0.9807692308,0.9956385752,0.994931334
Nevada,13,0,8,5,13,404326,8257764634,404326,8257764634,1,1,1
New Hampshire,12,1,7,6,13,816306,12646478995,817807,12659367936,0.9230769231,0.9981646036,0.9989818654
New Jersey,90,47,6,131,137,839453,13679869826,950293,15072762084,0.6569343066,0.8833622893,0.907588785
New Mexico,36,4,18,22,40,1052226,18346365212,1116790,19141227888,0.9,0.9421878778,0.9584737886
New York,240,36,12,264,276,6797245,122796694383,6907457,124816220867,0.8695652174,0.9840444899,0.9838199998
North Carolina,52,7,29,30,59,4919835,79548836043,5144959,83821218649,0.8813559322,0.9562437718,0.94902982
North Dakota,27,2,16,13,29,213548,5562332492,214370,5571787732,0.9310344828,0.9961655082,0.998303015
Ohio,176,28,93,111,204,3219034,46805840687,3275797,47520722348,0.862745098,0.9826720032,0.9849564227
Oklahoma,50,3,10,43,53,1378803,19393720772,1385294,19445095602,0.9433962264,0.995314352,0.9973579544
Oregon,48,1,20,29,49,2266768,37503306629,2272112,37575958681,0.9795918367,0.9976480033,0.9980665283
Pennsylvania,237,53,35,255,290,4880052,76887587265,4953155,77764306897,0.8172413793,0.9852411241,0.9887259378
Rhode Island,13,2,8,7,15,490701,10440319697,493216,10478854410,0.8666666667,0.9949008142,0.9963226216
South Carolina,47,0,8,39,47,1706472,23063223521,1706472,23063223521,1,1,1
South Dakota,31,2,0,33,33,338861,5729121450,343389,5793214527,0.9393939394,0.9868137884,0.9889365262
Tennessee,120,8,70,58,128,2510949,42076449045,2623984,43544854287,0.9375,0.9569223745,0.9662783292
Texas,365,31,162,234,396,9892613,148337299832,10596228,158059030336,0.9217171717,0.9335975972,0.9384930397
Utah,52,2,22,32,54,3731288,57319592211,3975786,60494944814,0.962962963,0.9385032293,0.9475104471
Vermont,15,1,11,5,16,432372,6773970059,435787,6853238232,0.9375,0.9921636029,0.9884334718
Virginia,85,11,20,76,96,17368350,227703254310,20301658,261703479912,0.8854166667,0.8555138699,0.8700811101
Washington,75,1,48,28,76,4878663,89316558388,4882986,89379006477,0.9868421053,0.9991146811,0.9993013114
West Virginia,70,5,3,72,75,367225,4780963534,378904,4908934221,0.9333333333,0.9691768891,0.973931065
Wisconsin,104,1,102,3,105,3915328,69653190404,3915489,69654064075,0.9904761905,0.9999588813,0.999987457
Wyoming,17,1,0,18,18,385495,5714117465,385781,5715913717,0.9444444444,0.9992586467,0.9996857454
Totals,4096,407,1742,2761,4503,137461700,2247486389631,143179033,2323536390186,0.9096158117,0.9600686436,0.9672697183
