ACL_13,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $200K,0,29,5,24,29,0,0,3638,3588616,0,0,0
$200K-$500K,0,60,21,39,60,0,0,13822,20971099,0,0,0
$500K-$1M,0,74,21,53,74,0,0,20719,54410110,0,0,0
$1M-$2M,0,114,30,84,114,0,0,40780,166505335,0,0,0
$2M-$5M,3,254,72,185,257,1130,9230825,164724,881570485,0.01167315175,0.00685995969,0.01047088708
$5M-$10M,7,361,108,260,368,5637,44901718,371974,2652589766,0.01902173913,0.01515428498,0.01692750179
$10M-$20M,13,440,131,322,453,23751,174575554,768509,6581890515,0.02869757174,0.03090529844,0.02652361865
$20M-$50M,50,749,275,524,799,155530,1679057417,2369441,26521778884,0.06257822278,0.06563995474,0.06330862739
$50M-$100M,90,541,240,391,631,560010,6909158620,3752570,45694205999,0.1426307448,0.1492337252,0.1512042603
$100M-$200M,108,439,234,313,547,1162987,15921996488,5701096,77690694050,0.197440585,0.203993583,0.204940845
$200M-$500M,141,399,245,295,540,3179982,45762754171,11846680,173934163171,0.2611111111,0.2684281166,0.2631038856
$500M-$1B,86,193,142,137,279,4226073,63348529888,12772073,202055507609,0.3082437276,0.3308838745,0.3135204313
> $1B,219,230,262,187,449,69403849,1154544526179,103589697,1789800880139,0.4877505568,0.6699879526,0.6450686995
Totals,717,3883,1786,2814,4600,78718949,1288394730860,141415723,2326058755778,0.1558695652,0.5566491995,0.5538960388
