League,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alaska Credit Union League,1,8,1,8,9,760746,11373317421,984399,14792094339,0.1111111111,0.7728024917,0.7688781021
Association of Vermont Credit Unions,3,13,11,5,16,227574,4036707477,430657,6791410370,0.1875,0.5284344618,0.5943842673
California and Nevada Credit Union League,47,219,120,146,266,4508091,100456108792,14301193,301930789314,0.1766917293,0.3152248208,0.332712371
Carolinas Credit Union League,27,80,37,70,107,4944136,86705005744,6854083,109955560595,0.2523364486,0.721341717,0.7885458932
Cooperative Credit Union Association,20,151,65,106,171,2268825,31126949537,4894065,78935256678,0.1169590643,0.4635870182,0.3943351912
Cornerstone League,71,590,302,359,661,6608303,103072907251,14889481,217360907141,0.1074130106,0.443823596,0.4742016796
Credit Union Association of New Mexico,8,32,18,22,40,819343,14598457547,1109199,19161611060,0.2,0.7386798942,0.7618596109
CrossState Credit Union Association,54,383,44,393,437,3081838,51299649847,5876718,91626813257,0.1235697941,0.5244148179,0.559875958
Dakota Credit Union Association,6,55,16,45,61,58981,883143010,543608,11016800409,0.09836065574,0.1084991391,0.08016329399
GoWest Credit Union Association,46,226,134,138,272,5141438,93636817547,13016403,225089821212,0.1691176471,0.3949968359,0.4159975651
Hawaii Credit Union League,6,40,0,46,46,211445,3862358149,871312,15384251214,0.1304347826,0.2426742659,0.2510592225
Illinois Credit Union League,15,189,156,48,204,2270355,45486815201,4050133,71189866644,0.07352941176,0.5605630729,0.6389507011
Indiana Credit Union League,16,112,33,95,128,1204244,20940178239,2807247,44696692367,0.125,0.4289768588,0.4684950302
Iowa Credit Union League,2,66,67,1,68,20857,262914854,1649878,32528786202,0.02941176471,0.01264154077,0.008082528883
Kentucky's Credit Unions,6,50,18,38,56,495700,8738166264,962096,14598099393,0.1071428571,0.5152292495,0.5985824612
League of Southeastern Credit Unions,46,236,153,129,282,5738078,85183866510,12483087,188341377503,0.1631205674,0.4596681894,0.4522843978
Luminate Louisiana Credit Unions,15,132,26,121,147,619128,8262520808,1342099,17078482914,0.1020408163,0.4613132116,0.4837971177
Maine Credit Union League,1,46,12,35,47,18214,250473764,742159,12018979048,0.02127659574,0.02454191083,0.02083985362
Maryland & DC Credit Union Association,39,69,7,101,108,1645397,35973830785,2722911,53983163453,0.3611111111,0.6042786562,0.6663898239
Michigan Credit Union League,15,169,119,65,184,1963721,40810522501,5998448,105900361805,0.08152173913,0.3273715134,0.3853671678
Minnesota Credit Union Network,12,73,59,26,85,719686,16740882604,2145412,40946769583,0.1411764706,0.3354535166,0.4088450145
Mississippi Credit Union Association,3,56,1,58,59,349437,4332678896,718324,7965239011,0.05084745763,0.486461541,0.543948385
Montanas Credit Unions,3,39,9,33,42,139556,3349865678,430611,7615512758,0.07142857143,0.3240883303,0.43987395
Nebraska Credit Union League and Affils,4,49,10,43,53,187836,2089904969,572230,6624319172,0.07547169811,0.3282526257,0.3154897756
New York Credit Union Association,66,218,12,272,284,5529109,103486929300,6852462,123385042085,0.2323943662,0.8068791917,0.8387315638
Ohio Credit Union League,31,177,95,113,208,915677,13196664606,3280798,46869134697,0.1490384615,0.2791019136,0.281564076
Tennessee Credit Union League,12,118,72,58,130,826908,16487662642,2602076,42324766789,0.09230769231,0.3177877971,0.3895511752
The Credit Union League of Connecticut Inc,16,56,25,47,72,503111,7435027961,950884,15070728546,0.2222222222,0.5290981865,0.4933423051
Utah Credit Union Association,4,52,24,32,56,1637955,24764873184,3876616,58554690013,0.07142857143,0.4225218593,0.4229357747
Virginia Credit Union League,35,55,21,69,90,18764856,244140948748,19654950,257043633045,0.3888888889,0.9547140033,0.949803525
West Virginia Credit Union League,3,72,3,72,75,37499,499973170,378688,4985877240,0.04,0.09902347051,0.1002778741
Wisconsin Credit Union League,3,105,105,3,108,785758,9200652483,3882601,69221699441,0.02777777778,0.2023792813,0.1329157267
Totals,636,3936,1775,2797,4572,73003802,1192686775489,141874828,2312988537298,0.1391076115,0.514564867,0.5156475081
