ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,58,2127,676,1509,2185,164985,1597239219,3848250,37310462667,0.02654462243,0.04287273436,0.04280941872
$50M-$100M,82,561,247,396,643,550878,6266282425,3867408,46425823783,0.1275272162,0.1424411389,0.1349740708
$100M-$200M,90,460,232,318,550,926292,12942486912,5878514,78241806521,0.1636363636,0.1575724749,0.1654165144
$200M-$500M,129,403,239,293,532,2868954,40559109981,11809247,170304373817,0.242481203,0.2429413154,0.2381565962
$500M-$1B,105,181,148,138,286,5263670,77900258195,13425228,207576520182,0.3671328671,0.3920730434,0.3752845366
$1B-$2B,74,124,114,84,198,6571908,104559877992,16754404,279379979105,0.3737373737,0.392249584,0.3742568753
$2B-$5B,70,94,97,67,164,13610293,218561139461,29616787,506626762302,0.4268292683,0.459546574,0.4314046468
$5B-$10B,28,26,34,20,54,10625086,205962938773,19681796,384913907474,0.5185185185,0.5398433151,0.535088327
> $10B,10,11,10,11,21,25065622,382421003474,35343939,561920289049,0.4761904762,0.709191525,0.680560946
Totals,646,3987,1797,2836,4633,65647688,1050770336432,140225573,2272699924900,0.1394344917,0.4681577447,0.4623445114
