ACL_13,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $200K,0,24,4,20,24,0,0,2629,2621605,0,0,0
$200K-$500K,0,61,21,40,61,0,0,13073,20631156,0,0,0
$500K-$1M,0,63,17,46,63,0,0,18348,46085628,0,0,0
$1M-$2M,0,110,36,74,110,0,0,39074,160064271,0,0,0
$2M-$5M,3,240,61,182,243,1346,9827506,149239,840300702,0.01234567901,0.009019090184,0.01169522526
$5M-$10M,9,325,100,234,334,8604,65881352,350633,2380366037,0.02694610778,0.02453847755,0.0276769837
$10M-$20M,8,420,123,305,428,20017,117440066,706948,6174809789,0.01869158879,0.02831467095,0.01901922003
$20M-$50M,45,719,258,506,764,143184,1605076667,2222379,25348318391,0.05890052356,0.06442825459,0.06332083424
$50M-$100M,72,531,231,372,603,436030,5597101142,3470492,43710517489,0.1194029851,0.1256392465,0.1280492994
$100M-$200M,94,447,221,320,541,990037,13874616866,5461868,77098484825,0.1737523105,0.1812634432,0.1799596568
$200M-$500M,124,406,236,294,530,2682882,39631543448,11196698,169488340701,0.2339622642,0.239613679,0.2338305
$500M-$1B,72,216,148,140,288,3292769,52252904399,12790699,205739373019,0.25,0.2574346406,0.2539762012
> $1B,205,255,261,199,460,67270305,1118419302222,107840742,1855281139783,0.4456521739,0.6237930466,0.6028300931
Totals,632,3817,1717,2732,4449,74845174,1231573693668,144262822,2386291053396,0.1420543942,0.518811243,0.5161037217
