ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,1858,327,676,1509,2185,3472220,33735322818,3848250,37310462667,0.8503432494,0.9022854544,0.9041786246
$50M-$100M,603,40,247,396,643,3649709,43659497433,3867408,46425823783,0.9377916019,0.9437093268,0.94041406
$100M-$200M,521,29,232,318,550,5660333,74504771854,5878514,78241806521,0.9472727273,0.962885008,0.9522373673
$200M-$500M,507,25,239,293,532,11396200,162778952435,11809247,170304373817,0.9530075188,0.9650234261,0.9558119312
$500M-$1B,283,3,148,138,286,13274877,205639148240,13425228,207576520182,0.9895104895,0.9888008606,0.9906667096
$1B-$2B,196,2,114,84,198,16575894,276463532541,16754404,279379979105,0.9898989899,0.9893454879,0.9895610037
$2B-$5B,162,2,97,67,164,29380126,501035927718,29616787,506626762302,0.987804878,0.9920092277,0.9889645889
$5B-$10B,54,0,34,20,54,19681796,384913907474,19681796,384913907474,1,1,1
> $10B,21,0,10,11,21,35343939,561920289049,35343939,561920289049,1,1,1
Totals,4205,428,1797,2836,4633,138435094,2244651349562,140225573,2272699924900,0.9076192532,0.9872314374,0.9876584783
